"ADDRESS","AVAILABILITY_STATUS","AVAILABLE_AT","BATHS","BEDS","BUILDING_TYPE","CITY","CLUBHOUSE","COMPANY","DATE_POSTED","DESCRIPTION","DOORMAN","FURNISHED","GARAGE","GARAGE_COUNT","GRANITE","GYM","ID","LATITUDE","LAUNDRY","LONGITUDE","NEIGHBORHOOD","POOL","RENT_PRICE","SCRAPED_TIMESTAMP","SQFT","STAINLESS","STATE","YEAR_BUILT","ZIP"
"10 Inner Belt Road , Somerville, MA 02143","available","2025-01-20 09:39:32.811",2,3,"apartment building","Somerville","Y","Greystar","2025-01-20 00:00:00.000","Located at the nexus of road and rail in Somerville, Arris offers apartments near downtown Boston with unparalleled access to destinations for culture and nature across the metro area and beyond. Residents enjoy a robust collection of indoor and outdoor amenities for fitness, wellness, and work-from-home activities. From fireside chats in the lounge to dining al fresco in the courtyards, Arris offers inspiring, luxury and pet-friendly apartments in Somerville, MA to chill out between adventures while fully embracing the possibilities of every moment spent at home. Expansive, light-filled apartments bring contemporary style together with absolute comfort while sustainable design elements contribute to eco-friendly living. Features/amenities: Study nooks, meeting spaces, and conference room, Fitness center, yoga studio, and mirror-style training, Lounge with two-sided fireplace & demonstration kitchen, Landscaped north courtyard with grills and dining areas, Landscaped south courtyard with plunge pool, Nearly floor-to-ceiling windows, Full-size washer and dryer in every residence, Energy Star-rated stainless steel kitchen appliances, Quartz kitchen countertops with subway tile backsplashes, Wood-style vinyl floors in living areas and kitchens, Air Conditioning, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",514416935,42.380858,"Y",-71.080693,"","Y",5450,"2025-01-20 09:40:10.937",1313,"Y","MA","",2143
"1 Gatehouse Drive","available","2025-01-13 00:00:00.0",2,3,"unknown","East Wareham","Y","Gatehouse Management, Inc. Company","2025-01-13 00:00:00.000","Washer/Dryer available
Air Conditioner
Berber-style Carpeting
Built in Microwaves
Ceramic Tile Entrances
Decorator designed kitchens
Dishwasher
Garbage Disposals
Refrigerator
Spacious Floor Plans
WD Hookup
Wired for FiOS TV, Internet and Phone
Online Payments Available
Additional Storage
Business Center
Charcoal Grills
Garages
Great Room with stone fireplace
Kids Park
Laundry Facilities
Luxurious Clubhouse
On-site Maintenance
State of the art fitness center
TV Lounge
Viewing platform, sitting area and gazebo with views of Union Pond","N","N","N","","N","Y",514399669,41.7622,"Y",-70.6684,"","N",2352,"2025-01-20 09:16:26.266",1195,"N","MA","2010",2538
"274 E Main St , Norton, MA 02766","available","2025-01-20 01:48:36.983",2,3,"apartment building","Norton","N","Greystar","2025-01-20 00:00:00.000","Avana East Main offers spacious 1, 2, and 3-bedroom residences in Norton, MA, including loft-inspired apartments and private townhomes with personal entrances and patios or balconies. Enjoy upgraded features such as modern countertops, appliances, and finishes, paired with ample space and quality community amenities. Our pet-friendly community combines comfort and convenience, with easy access to nature, local shops, and eateries. Discover a home designed to meet your needs and enhance your lifestyle at Avana East Main. Features/amenities: Information coming soon!, Information coming soon!, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Pet Friendly, Playground, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","N","Y",514303232,41.989615,"Y",-71.156062,"","Y",4065,"2025-01-20 01:48:37.114",1422,"N","MA","",2766
"45 Wheeler Circle","available","2024-11-04 00:00:00.0",1,2,"apartment building","Stoughton","N"," Company","2024-11-04 00:00:00.000","Large Closets
Central Heating & Air
Custom Maple Cabinetry
Electric Range
Refrigerator
Microwave*
Dishwasher
Disposal
Newly Renovated Kitchens & Baths*
Washer & Dryer*
Individual Climate Control & Cross-Ventilation
Private Patio or Balcony
Ceramic Tiled Baths*
Open-Concept Floor Plans*
Beautifully Landscaped Grounds
BBQ Grills & Picnic Area


Bus from Community to Stoughton Train Station, w/ Access to Boston Subway
Community Fitness Center
Community Laundry Centers
Community Playground
Controlled Building Access
Dog Park
Easy & Secure Online Rent Payments
Garages Available
Monthly Resident Events

Off Street Parking

Professional On-Site Management
Resident Business Center
Sparkling Swimming Pool w/ Sundeck
Updater

24-Hour Emergency Maintenance
Non-Smoking Community","N","N","N","","N","Y",514398719,42.1348,"Y",-71.137,"","Y",2749,"2025-01-20 09:14:55.775",900,"N","MA","1972",2072
"72 Gardner Street","available","2025-01-13 00:00:00.0",2,4,"apartment building","Allston","N"," Company","2025-01-13 00:00:00.000","Hardwood Floors
Recently Renovated Kitchens
Beautiful Gothic Style Courtyard
Close to Public Transportation
On-Site Laundry","N","N","N","","N","N",514398201,42.3536,"Y",-71.1273,"Allston-Brighton","N",5195,"2025-01-20 09:13:58.639","","N","MA","",2134
"3000 Green District Blvd , Marlborough, MA 01752","available","2025-01-20 07:56:12.014",2,2,"apartment building","Marlborough","Y","Greystar","2025-01-20 00:00:00.000","Nestled within a grove of trees, The Lodge is an homage to its surroundings. This stunning building invites the outside in. The Lodge is truly deserving of its name, with gorgeous post and beam elements. With exceptional amenities and finishes, residents will find spacious apartments and community spaces that envelop them in elevated comfort. For those discerning enough to seek out the extraordinary, welcome in. Features/amenities: Lil lodge play area as well as guest suites available for rent, On-site nature trails and pond, Roof deck area with grills, outdoor lounge seating and sweeping views of surrounding nature, Co-working spaces as well as multiple private offices all with high speed Wifi, Trackman golf simulator room featuring PGA tour level courses, ""The Heartwood"" - a 2,500 sqft. fitness facility with yoga room, Peloton studio and more, ""The Quill"" a 2,000 volume library, Great room fireplace lounge featuring ""The Night Owl Bar"" serving beer on tap, Courtyard style heated pool with cabana and poolside sundeck lounging, Select homes featuring dens and private offices, In home private washer and dryer, Smart thermostats, Quartz countertops, Central air conditioning and heat, Large spacious walk in closets, Stainless steel appliances, Shaker style kitchen cabinets, Select top-floor penthouse homes available with extra features and extra high ceilings, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",514349845,42.31892,"Y",-71.577191,"","Y",3969,"2025-01-20 07:56:48.692",1296,"Y","MA","",1752
"3000 Green District Blvd , Marlborough, MA 01752","available","2025-01-20 07:56:12.014",2,2,"apartment building","Marlborough","Y","Greystar","2025-01-20 00:00:00.000","Nestled within a grove of trees, The Lodge is an homage to its surroundings. This stunning building invites the outside in. The Lodge is truly deserving of its name, with gorgeous post and beam elements. With exceptional amenities and finishes, residents will find spacious apartments and community spaces that envelop them in elevated comfort. For those discerning enough to seek out the extraordinary, welcome in. Features/amenities: Lil lodge play area as well as guest suites available for rent, On-site nature trails and pond, Roof deck area with grills, outdoor lounge seating and sweeping views of surrounding nature, Co-working spaces as well as multiple private offices all with high speed Wifi, Trackman golf simulator room featuring PGA tour level courses, ""The Heartwood"" - a 2,500 sqft. fitness facility with yoga room, Peloton studio and more, ""The Quill"" a 2,000 volume library, Great room fireplace lounge featuring ""The Night Owl Bar"" serving beer on tap, Courtyard style heated pool with cabana and poolside sundeck lounging, Select homes featuring dens and private offices, In home private washer and dryer, Smart thermostats, Quartz countertops, Central air conditioning and heat, Large spacious walk in closets, Stainless steel appliances, Shaker style kitchen cabinets, Select top-floor penthouse homes available with extra features and extra high ceilings, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",514349783,42.31892,"Y",-71.577191,"","Y",3562,"2025-01-20 07:56:43.097",1206,"Y","MA","",1752
"590 Middle St","available","2025-01-13 00:00:00.0",1,0,"apartment building","Weymouth","N"," Company","2025-01-13 00:00:00.000","Air Conditioner
Cable Ready
Carpeting
Dishwasher
Efficient Appliances
Extra Storage
Hardwood Floors
Large Closets
Patio/Balcony
Refrigerator
Washer/Dryer
Wheelchair Access
Window Coverings
Availability 24 Hours
BBQ/Picnic Area
Courtyard
Elevator
Fitness Center
Free Weights
High Speed Internet
Laundry Facilities
On-Site Maintenance
On-Site Management
Package Receiving
Playground
Pool
Public Transportation
Recycling
Spanish Speaking Staff","N","N","N","","N","Y",514397386,42.204,"Y",-70.9435,"","Y",1700,"2025-01-20 09:12:40.625",278,"N","MA","1970",2189
"150 King Rail Drive","available","2025-01-13 00:00:00.0",1,1,"apartment building","Lynnfield","Y","National Development Company","2025-01-13 00:00:00.000","Air Conditioner
Cable Ready
Carpeting
Dishwasher
Disposal
Extra Storage
Large Closets
Microwave
Patio/Balcony
Refrigerator
View
Washer/Dryer
Wheelchair Access
Window Coverings
BBQ/Picnic Area
Bike Racks
Business Center
Clubhouse
Covered Parking
Starbucks Coffee Bar
Loaner Bikes
Elevator
Fitness Center
Free Weights
Garage
High Speed Internet
On-Site Maintenance
On-Site Management
Package Receiving
Pool
Short Term Lease
Sundeck
Electric-Vehicle Charging Stations","N","N","Y","","N","Y",514399583,42.5181,"Y",-71.0363,"","Y",3756,"2025-01-20 09:16:15.530",1072,"N","MA","2014",1940
"11 Overlook Ridge Drive","coming soon","2025-03-30 00:00:00.0",1,0,"apartment building","Revere","Y","Bell Partners, Inc.  Company","2025-01-13 00:00:00.000","Washer/Dryer
Dishwasher
Air Conditioner
Multiple Styles of Finishes to Choose From
Granite Countertops *
Glass-Top Range *
Espresso Cabinetry *
Carpeting in Bedrooms
Central AC/Heat in All Homes
Balconies or Patios *
High Ceilings *
Stainless Steel Appliances *
Stone Countertops *
Oak Kitchen Cabinetry *
Hardwood-Style Flooring in Living Areas *
Private Washer/Dryer in All Homes
Walk-In Closets *
Expansive Bay Windows *
Ceramic-Tiled Bathrooms
4 Resort-Inspired Swimming Pools
Multiple Luxury Clubhouses with TV and Entertaining Space
HIIT Equipment and Cross Training Setup
Work From Home Spaces with Wi-Fi
Smoke Free Living *
Indoor Basketball Court
Outdoor Billiards
Resident Programs and Themed Events
Package Concierge Storage & Retrieval System
Shared Tennis Court
Shared Canine Country Club
Indoor Golf & Sports Simulator
Four State-of-the-Art Fitness Facilities
Yoga and Spin Bike Studio
Conference Room
Multiple Fire Pits and Outdoor Lounge Seating
Garage Parking Available *
Crayon Corner
Dog-Washing Station
24/7 Emergency Maintenance Available
Shared Playland and Jungle Gym
Shared Open Green Space and Lawn","Y","N","Y","","Y","Y",514399572,42.4399,"Y",-71.0204,"","Y",2316,"2025-01-20 09:16:14.665",591,"Y","MA","2015",2151
